Produto/Tipo,Unidade,Preço Unitário R$,Quantidade Entregue,Data da Doação
ABOBORA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,5.32,200,12/08/2025
ABOBRINHA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.66,39,12/08/2025
AIPIM/CONVENCIONAL,Kg,3.66,666,12/08/2025
BANANA D'ÁGUA/CONVENCIONAL,Kg,5.56,30,12/08/2025
BANANA DA TERRA/CONVENCIONAL,Kg,12.65,30,12/08/2025
BANANA PRATA/CONVENCIONAL,Kg,7.33,420,12/08/2025
BATATA DOCE/CONVENCIONAL,Kg,5.33,36,12/08/2025
BERINJELA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.32,90,12/08/2025
BETERRABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.99,72,12/08/2025
CENOURA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.29,72,12/08/2025
GOIABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.29,144,12/08/2025
JILÓ(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.32,26,12/08/2025
LARANJA SELETA/CONVENCIONAL,Kg,7.67,108,12/08/2025
MAMÃO FORMOSA/CONVENCIONAL,Kg,7.38,45,12/08/2025
MANGA PALMER/CONVENCIONAL,Kg,8.34,45,12/08/2025
MARACUJÁ(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,18.43,230,12/08/2025
PEPINO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,3.66,18,12/08/2025
PIMENTÃO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,14.32,45,12/08/2025
TOMATE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.32,180,12/08/2025
ABACAXI(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.5,360,08/10/2025
ABOBORA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,5.32,450,08/10/2025
AIPIM/CONVENCIONAL,Kg,3.66,689,08/10/2025
ALFACE AMERICANA/CONVENCIONAL,Kg,3.82,120,08/10/2025
ALFACE CRESPA/CONVENCIONAL,Kg,11.19,10,08/10/2025
BANANA D'ÁGUA/CONVENCIONAL,Kg,5.56,195,08/10/2025
BANANA PRATA/CONVENCIONAL,Kg,7.33,1195,08/10/2025
BATATA DOCE/CONVENCIONAL,Kg,5.33,180,08/10/2025
BATATA INGLESA/CONVENCIONAL,Kg,8.29,128,08/10/2025
BERINJELA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.32,30,08/10/2025
BETERRABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.99,338,08/10/2025
CEBOLA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.63,150,08/10/2025
CEBOLINHA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,24.51,75,08/10/2025
CENOURA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.96,396,08/10/2025
COUVE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.9,90,08/10/2025
GOIABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.29,702,08/10/2025
INHAME(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.66,180,08/10/2025
JILÓ(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.32,39,08/10/2025
LARANJA SELETA/CONVENCIONAL,Kg,7.67,126,08/10/2025
MAMÃO FORMOSA/CONVENCIONAL,Kg,7.38,45,08/10/2025
NABO/CONVENCIONAL,Kg,4.1,18,08/10/2025
PEPINO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,3.66,342,08/10/2025
PIMENTÃO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,14.32,200,08/10/2025
QUIABO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,11.43,52,08/10/2025
RABANETE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,15.09,62,08/10/2025
REPOLHO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.14,30,08/10/2025
SALSA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,37.85,45,08/10/2025
TOMATE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.32,430,08/10/2025
AIPIM/CONVENCIONAL,Kg,3.66,108,19/08/2025
ALFACE CRESPA/CONVENCIONAL,Kg,11.19,145,19/08/2025
BANANA D'ÁGUA/CONVENCIONAL,Kg,5.56,90,19/08/2025
BANANA PRATA/CONVENCIONAL,Kg,7.33,900,19/08/2025
BATATA DOCE/CONVENCIONAL,Kg,5.33,18,19/08/2025
BATATA INGLESA/CONVENCIONAL,Kg,8.29,324,19/08/2025
BATATA YACON/CONVENCIONAL,Kg,14.25,16,19/08/2025
BETERRABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.99,270,19/08/2025
BRÓCOLIS(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.68,150,19/08/2025
BRÓCOLIS(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/ORGÂNICO,Kg,12.0,36,19/08/2025
CEBOLINHA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,24.51,9,19/08/2025
