Produto/Tipo,Unidade,Preço Unitário R$,Quantidade Entregue,Data da Doação,AnoMes
ABOBORA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,5.32,200,2025-08-12,2025-08
ABOBRINHA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.66,39,2025-08-12,2025-08
AIPIM/CONVENCIONAL,Kg,3.66,666,2025-08-12,2025-08
BANANA D'ÁGUA/CONVENCIONAL,Kg,5.56,30,2025-08-12,2025-08
BANANA DA TERRA/CONVENCIONAL,Kg,12.65,30,2025-08-12,2025-08
BANANA PRATA/CONVENCIONAL,Kg,7.33,420,2025-08-12,2025-08
BATATA DOCE/CONVENCIONAL,Kg,5.33,36,2025-08-12,2025-08
BERINJELA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.32,90,2025-08-12,2025-08
BETERRABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.99,72,2025-08-12,2025-08
CENOURA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.29,72,2025-08-12,2025-08
GOIABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.29,144,2025-08-12,2025-08
JILÓ(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.32,26,2025-08-12,2025-08
LARANJA SELETA/CONVENCIONAL,Kg,7.67,108,2025-08-12,2025-08
MAMÃO FORMOSA/CONVENCIONAL,Kg,7.38,45,2025-08-12,2025-08
MANGA PALMER/CONVENCIONAL,Kg,8.34,45,2025-08-12,2025-08
MARACUJÁ(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,18.43,230,2025-08-12,2025-08
PEPINO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,3.66,18,2025-08-12,2025-08
PIMENTÃO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,14.32,45,2025-08-12,2025-08
TOMATE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.32,180,2025-08-12,2025-08
ABACAXI(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.5,360,2025-10-08,2025-10
ABOBORA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,5.32,450,2025-10-08,2025-10
AIPIM/CONVENCIONAL,Kg,3.66,689,2025-10-08,2025-10
ALFACE AMERICANA/CONVENCIONAL,Kg,3.82,120,2025-10-08,2025-10
ALFACE CRESPA/CONVENCIONAL,Kg,11.19,10,2025-10-08,2025-10
BANANA D'ÁGUA/CONVENCIONAL,Kg,5.56,195,2025-10-08,2025-10
BANANA PRATA/CONVENCIONAL,Kg,7.33,1195,2025-10-08,2025-10
BATATA DOCE/CONVENCIONAL,Kg,5.33,180,2025-10-08,2025-10
BATATA INGLESA/CONVENCIONAL,Kg,8.29,128,2025-10-08,2025-10
BERINJELA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.32,30,2025-10-08,2025-10
BETERRABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.99,338,2025-10-08,2025-10
CEBOLA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.63,150,2025-10-08,2025-10
CEBOLINHA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,24.51,75,2025-10-08,2025-10
CENOURA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.96,396,2025-10-08,2025-10
COUVE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.9,90,2025-10-08,2025-10
GOIABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.29,702,2025-10-08,2025-10
INHAME(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.66,180,2025-10-08,2025-10
JILÓ(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.32,39,2025-10-08,2025-10
LARANJA SELETA/CONVENCIONAL,Kg,7.67,126,2025-10-08,2025-10
MAMÃO FORMOSA/CONVENCIONAL,Kg,7.38,45,2025-10-08,2025-10
NABO/CONVENCIONAL,Kg,4.1,18,2025-10-08,2025-10
PEPINO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,3.66,342,2025-10-08,2025-10
PIMENTÃO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,14.32,200,2025-10-08,2025-10
QUIABO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,11.43,52,2025-10-08,2025-10
RABANETE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,15.09,62,2025-10-08,2025-10
REPOLHO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.14,30,2025-10-08,2025-10
SALSA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,37.85,45,2025-10-08,2025-10
TOMATE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.32,430,2025-10-08,2025-10
AIPIM/CONVENCIONAL,Kg,3.66,108,2025-08-19,2025-08
ALFACE CRESPA/CONVENCIONAL,Kg,11.19,145,2025-08-19,2025-08
BANANA D'ÁGUA/CONVENCIONAL,Kg,5.56,90,2025-08-19,2025-08
BANANA PRATA/CONVENCIONAL,Kg,7.33,900,2025-08-19,2025-08
BATATA DOCE/CONVENCIONAL,Kg,5.33,18,2025-08-19,2025-08
BATATA INGLESA/CONVENCIONAL,Kg,8.29,324,2025-08-19,2025-08
BATATA YACON/CONVENCIONAL,Kg,14.25,16,2025-08-19,2025-08
BETERRABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.99,270,2025-08-19,2025-08
BRÓCOLIS(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.68,150,2025-08-19,2025-08
BRÓCOLIS(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/ORGÂNICO,Kg,12.0,36,2025-08-19,2025-08
CEBOLINHA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,24.51,9,2025-08-19,2025-08
CENOURA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.96,252,2025-08-19,2025-08
CHUCHU(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,4.32,30,2025-08-19,2025-08
COUVE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.9,65,2025-08-19,2025-08
